품사,(다중 항목),,,,,,
,,,,,,,
평균 : 상대빈도,열 레이블,,,,,,
행 레이블,감쪽같은그녀,결백,그대를사랑,내머리속에,로망,오문희,총합계
업질러-Verb,,,,,,0.01%,0.01%
온다-Verb,,,,,,0.01%,0.01%
후리지아-Verb,,,,,,0.01%,0.01%
없다-Adjective,,,,,,0.01%,0.01%
지나가던-Verb,,,,,,0.01%,0.01%
후림-Verb,,,,,,0.01%,0.01%
지루해-Adjective,,,,,,0.01%,0.01%
힘든-Adjective,,,,,,0.01%,0.01%
짓수-Verb,,,,,,0.01%,0.01%
짜증나는-Adjective,,,,,,0.01%,0.01%
아파하지-Adjective,,,,,,0.01%,0.01%
꺼꺼꺼-Verb,,,,,,0.01%,0.01%
박가은-Verb,,,,,,0.01%,0.01%
문실-Verb,,,,,,0.01%,0.01%
걸리겠다-Verb,,,,,,0.01%,0.01%
박지리-Verb,,,,,,0.01%,0.01%
내꺼-Verb,,,,,,0.01%,0.01%
소소하게-Adjective,,,,,,0.01%,0.01%
놀러-Verb,,,,,,0.01%,0.01%
기다린다-Verb,,,,,,0.01%,0.01%
눈부신-Adjective,,,,,,0.01%,0.01%
박은-Verb,,,,,,0.01%,0.01%
달다-Verb,,,,,,0.01%,0.01%
김운고-Verb,,,,,,0.01%,0.01%
가련-Verb,,,,,,0.01%,0.01%
꿈이있어여-Verb,,,,,,0.01%,0.01%
달콤한-Adjective,,,,,,0.01%,0.01%
먼-Adjective,,,,,,0.01%,0.01%
구르마-Verb,,,,,,0.01%,0.01%
미이-Adjective,,,,,,0.01%,0.01%
도르치-Verb,,,,,,0.01%,0.01%
긴-Verb,,,,,,0.01%,0.01%
될-Verb,,,,,,0.01%,0.01%
박고련-Verb,,,,,,0.01%,0.01%
가뿐히-Adjective,,,,,,0.01%,0.01%
김기-Verb,,,,,,0.01%,0.01%
들-Verb,,,,,,0.01%,0.01%
김다니-Verb,,,,,,0.01%,0.01%
따뜻한-Adjective,,,,,,0.01%,0.01%
비가오는-Verb,,,,,,0.01%,0.01%
때워-Verb,,,,,,0.01%,0.01%
살자-Verb,,,,,,0.01%,0.01%
서네-Verb,,,,,,0.01%,0.01%
세은-Verb,,,,,,0.01%,0.01%
세히-Verb,,,,,,0.01%,0.01%
뜨거-Adjective,,,,,,0.01%,0.01%
순결한-Adjective,,,,,,0.01%,0.01%
머니주니-Adjective,,,,,,0.01%,0.01%
메이러-Verb,,,,,,0.01%,0.01%
썬-Verb,0.01%,0.01%,,,,,0.01%
흰-Adjective,,0.01%,,,,0.01%,0.01%
채은-Verb,,0.01%,,,,0.01%,0.01%
찾아-Verb,,0.01%,,,,,0.01%
하느-Verb,,0.01%,,,,,0.01%
큰-Verb,,0.01%,,,,,0.01%
밝은-Verb,,0.01%,,,,,0.01%
둥글게-Adjective,,0.01%,,,,,0.01%
닮-Verb,,0.01%,,,,,0.01%
뜬-Verb,,0.01%,,,,,0.01%
해라-Verb,0.01%,,0.01%,,,,0.01%
푸름-Adjective,0.01%,,0.01%,,,,0.01%
팜-Verb,0.01%,,0.01%,,,,0.01%
와-Verb,,0.01%,0.01%,,,0.01%,0.01%
따-Verb,,0.01%,0.01%,,,0.01%,0.01%
평범한-Adjective,,,0.01%,,,0.01%,0.01%
짜-Verb,,,0.01%,,,0.01%,0.01%
춘-Verb,,,0.01%,,,0.01%,0.01%
좋아-Adjective,0.01%,0.01%,,0.01%,,,0.01%
빌-Verb,0.01%,0.01%,,0.01%,,,0.01%
떠-Verb,0.01%,0.01%,,0.01%,,,0.01%
푸-Verb,0.01%,0.01%,,,,0.01%,0.01%
넘-Verb,0.01%,0.01%,,,,0.01%,0.01%
써-Verb,0.01%,,,0.01%,,,0.01%
행복한-Adjective,0.01%,,,0.01%,,,0.01%
놔-Verb,0.01%,,,0.01%,,,0.01%
몰라-Verb,0.01%,,,0.01%,,,0.01%
찐-Verb,,0.01%,0.01%,,,,0.01%
멘-Verb,,0.01%,0.01%,,,,0.01%
예쁜-Adjective,0.01%,0.01%,,,,,0.01%
입니당-Adjective,0.01%,0.01%,,,,,0.01%
올-Verb,0.01%,0.01%,,,,,0.01%
올라-Verb,0.01%,0.01%,,,,,0.01%
소중한-Adjective,0.01%,0.01%,,,,,0.01%
보자-Verb,0.01%,0.01%,,,,,0.01%
다니-Verb,0.01%,0.01%,,,,,0.01%
사는-Verb,0.01%,0.01%,,,,,0.01%
나를-Verb,0.01%,0.01%,,,,,0.01%
나간-Verb,0.01%,0.01%,,,,,0.01%
된다-Verb,0.01%,0.01%,,,,,0.01%
미오-Adjective,0.01%,0.01%,,,,,0.01%
바라기-Verb,,0.01%,,0.01%,,,0.01%
했어-Verb,,0.01%,,,,0.01%,0.01%
쓰리-Adjective,,0.01%,,,,0.01%,0.01%
핍-Verb,,0.01%,,,,0.01%,0.01%
하는아-Verb,,0.01%,,,,0.01%,0.01%
친절한-Adjective,,0.01%,,,,0.01%,0.01%
김세은-Verb,,0.01%,,,,0.01%,0.01%
가려요-Verb,,0.01%,,,,0.01%,0.01%
바르-Verb,,0.01%,,,,0.01%,0.01%
기쁜-Adjective,,0.01%,0.01%,,,0.01%,0.01%
안조니-Adjective,,,0.01%,,,,0.01%
온군-Verb,,,0.01%,,,,0.01%
싼-Verb,,,0.01%,,,,0.01%
재세-Verb,,,0.01%,,,,0.01%
옳다-Adjective,,,0.01%,,,,0.01%
왔어요-Verb,,,0.01%,,,,0.01%
안녕하세-Adjective,,,0.01%,,,,0.01%
쌌어-Verb,,,0.01%,,,,0.01%
이런진-Adjective,,,0.01%,,,,0.01%
아니야-Adjective,,,0.01%,,,,0.01%
숭고한-Adjective,,,0.01%,,,,0.01%
씁-Verb,,,0.01%,,,,0.01%
있나요-Adjective,,,0.01%,,,,0.01%
춰-Verb,,,0.01%,,,,0.01%
없인못-Adjective,,,0.01%,,,,0.01%
뚫고-Verb,,,0.01%,,,,0.01%
막구-Verb,,,0.01%,,,,0.01%
사는까-Verb,,,0.01%,,,,0.01%
갈아탐-Verb,,,0.01%,,,,0.01%
갤-Verb,,,0.01%,,,,0.01%
머니-Adjective,,,0.01%,,,,0.01%
까칠한-Adjective,,,0.01%,,,,0.01%
먹소-Verb,,,0.01%,,,,0.01%
새울-Verb,,,0.01%,,,,0.01%
멀대-Adjective,,,0.01%,,,,0.01%
